asn=0    	id=-1  	Main	copying configuration file /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/config.json to output directory /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/results/energy_consumption_with_time/energy-with-time-156900s-1800-8/config.json
asn=0    	id=-1  	Main	initializing 1800 seconds long simulation...
asn=0    	id=-1  	network	network stats has been reset
asn=0    	id=-1  	TSCH	Orchestra: initializing Orchestra infrastructure
asn=0    	id=-1  	Scheduler	time.timeline.slot_timings 0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569
asn=0    	id=-1  	Main	creating 8 "node" nodes...
asn=0    	id=1   	node	node stats has been reset
asn=0    	id=2   	node	node stats has been reset
asn=0    	id=3   	node	node stats has been reset
asn=0    	id=4   	node	node stats has been reset
asn=0    	id=5   	node	node stats has been reset
asn=0    	id=6   	node	node stats has been reset
asn=0    	id=7   	node	node stats has been reset
asn=0    	id=8   	node	node stats has been reset
asn=0    	id=-1  	Main	generating a mesh network with 8 nodes and 5 degrees
asn=0    	id=1   	Main	Set position x=93.63 y=-44.83
asn=0    	id=2   	Main	Set position x=47.46 y=8.42
asn=0    	id=3   	Main	Set position x=8.47 y=17.17
asn=0    	id=4   	Main	Set position x=105.56 y=52.96
asn=0    	id=5   	Main	Set position x=12.61 y=-93.07
asn=0    	id=6   	Main	Set position x=-19.90 y=-13.86
asn=0    	id=7   	Main	Set position x=2.07 y=-52.43
asn=0    	id=8   	Main	Set position x=122.14 y=9.46
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=3 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=4 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=5 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=6 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=7 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=8 for=1 period=3 warmup=100
asn=0    	id=-1  	Main	starting simulation main loop...
asn=0    	id=-1  	Main	add network to timeslot switcher
asn=0    	id=-1  	Main	network = [object Object]
asn=0    	id=1   	TSCH	Orchestra: *** initializing
asn=0    	id=1   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=1   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=1   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=1   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=1   	TSCH	Orchestra: initialization done
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=2   	TSCH	Orchestra: *** initializing
asn=0    	id=2   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=2   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=2   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=2   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=2   	TSCH	Orchestra: initialization done
asn=0    	id=2   	Node	scanning on channel=15...
asn=0    	id=3   	TSCH	Orchestra: *** initializing
asn=0    	id=3   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=3   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=3   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=3   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=3   	TSCH	Orchestra: initialization done
asn=0    	id=3   	Node	scanning on channel=25...
asn=0    	id=4   	TSCH	Orchestra: *** initializing
asn=0    	id=4   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=4   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=4   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=4   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=4   	TSCH	Orchestra: initialization done
asn=0    	id=4   	Node	scanning on channel=26...
asn=0    	id=5   	TSCH	Orchestra: *** initializing
asn=0    	id=5   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=5   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=5   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=5   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=5   	TSCH	Orchestra: initialization done
asn=0    	id=5   	Node	scanning on channel=20...
asn=0    	id=6   	TSCH	Orchestra: *** initializing
asn=0    	id=6   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=6   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=6   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=6   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=6   	TSCH	Orchestra: initialization done
asn=0    	id=6   	Node	scanning on channel=15...
asn=0    	id=7   	TSCH	Orchestra: *** initializing
asn=0    	id=7   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=7   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=7   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=7   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=7   	TSCH	Orchestra: initialization done
asn=0    	id=7   	Node	scanning on channel=20...
asn=0    	id=8   	TSCH	Orchestra: *** initializing
asn=0    	id=8   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=8   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=8   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=8   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=8   	TSCH	Orchestra: initialization done
asn=0    	id=8   	Node	scanning on channel=26...
asn=1    	id=3   	Node	add neighbor id=1
asn=1    	id=3   	TSCH	joined/associated at 0.157 on receiving an EB packet from 1
asn=1    	id=3   	TSCH	Orchestra: new time source 1
asn=1    	id=3   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=1    	id=3   	RPL	DIS output to -1
asn=7    	id=4   	Node	scanning on channel=25...
asn=7    	id=5   	Node	scanning on channel=25...
asn=7    	id=7   	Node	scanning on channel=15...
asn=7    	id=8   	Node	scanning on channel=25...
asn=14   	id=7   	Node	scanning on channel=20...
asn=14   	id=8   	Node	scanning on channel=26...
asn=14   	id=4   	Node	scanning on channel=15...
asn=14   	id=6   	Node	scanning on channel=26...
asn=14   	id=5   	Node	scanning on channel=26...
asn=21   	id=5   	Node	scanning on channel=25...
asn=21   	id=7   	Node	scanning on channel=25...
asn=21   	id=4   	Node	scanning on channel=25...
asn=21   	id=8   	Node	scanning on channel=15...
asn=26   	id=1   	RPL	DIO output to -1
asn=28   	id=8   	Node	scanning on channel=26...
asn=28   	id=4   	Node	scanning on channel=20...
asn=28   	id=5   	Node	scanning on channel=26...
asn=28   	id=6   	Node	scanning on channel=20...
asn=28   	id=7   	Node	scanning on channel=26...
asn=28   	id=2   	Node	scanning on channel=25...
asn=35   	id=7   	Node	scanning on channel=15...
asn=35   	id=8   	Node	scanning on channel=25...
asn=35   	id=6   	Node	scanning on channel=26...
asn=35   	id=5   	Node	scanning on channel=20...
asn=35   	id=4   	Node	scanning on channel=25...
asn=42   	id=5   	Node	scanning on channel=26...
asn=42   	id=4   	Node	scanning on channel=15...
asn=42   	id=7   	Node	scanning on channel=26...
asn=42   	id=6   	Node	scanning on channel=25...
asn=42   	id=8   	Node	scanning on channel=26...
asn=49   	id=8   	Node	scanning on channel=25...
asn=49   	id=2   	Node	scanning on channel=15...
asn=49   	id=5   	Node	scanning on channel=15...
asn=49   	id=7   	Node	scanning on channel=15...
asn=56   	id=4   	Node	scanning on channel=25...
asn=56   	id=5   	Node	scanning on channel=25...
asn=56   	id=2   	Node	scanning on channel=25...
asn=63   	id=5   	Node	scanning on channel=20...
asn=63   	id=2   	Node	scanning on channel=20...
