asn=0    	id=-1  	Main	copying configuration file /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/config2.json to output directory /home/lkw/tsch-sim-history/tsch-sim/results/2021-07-26_16-57-06/config2.json
asn=0    	id=-1  	Main	initializing 7200 seconds long simulation...
asn=0    	id=-1  	network	network stats has been reset
asn=0    	id=-1  	Main	time.timeline.slot_timings 0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704
asn=0    	id=-1  	Main	creating 6 "node" nodes...
asn=0    	id=-1  	Main	starting simulation main loop...
asn=0    	id=-1  	Main	add network to timeslot switcher
asn=0    	id=-1  	Main	network = [object Object]
asn=8772 	id=-1  	energy_model	this.TSCH_SLOT_RX_WAIT_USEC, 2240 
asn=8772 	id=-1  	Main	charge_joined_uc=16253.497 radio_duty_cycle_joined=3.335 
asn=8772 	id=-1  	energy_model	this.TSCH_SLOT_RX_WAIT_USEC, 2240 
asn=8772 	id=-1  	Main	charge_joined_uc=16886.184 radio_duty_cycle_joined=3.465 
asn=8772 	id=-1  	energy_model	this.TSCH_SLOT_RX_WAIT_USEC, 2240 
asn=8772 	id=-1  	Main	charge_joined_uc=16820.733 radio_duty_cycle_joined=3.452 
asn=8772 	id=-1  	energy_model	this.TSCH_SLOT_RX_WAIT_USEC, 2240 
asn=8772 	id=-1  	Main	charge_joined_uc=16689.833 radio_duty_cycle_joined=3.425 
asn=8772 	id=-1  	energy_model	this.TSCH_SLOT_RX_WAIT_USEC, 2240 
asn=8772 	id=-1  	Main	charge_joined_uc=16973.451 radio_duty_cycle_joined=3.483 
asn=8772 	id=-1  	energy_model	this.TSCH_SLOT_RX_WAIT_USEC, 2240 
asn=8772 	id=-1  	Main	charge_joined_uc=16777.1 radio_duty_cycle_joined=3.443 
asn=8772 	id=-1  	Main	packet stats: PDR=0.000% generated=0 received=0 lost=0 (tx_limit/queue/routing/scheduling/other=0/0/0/0/0)
asn=8772 	id=-1  	Main	link stats: PAR=28.000% tx=25 acked=7
asn=8772 	id=-1  	Main	link stats: tx=69 rx=130 tx_unicat=53,this.stats_mac_acked=25
asn=8772 	id=-1  	Main	current-consumed=2.007 current-consumed-when-joined=2.007
asn=8772 	id=-1  	Main	mac_rx_collision=34,mac_rx = 130,collision rate =26.153846153846157 
asn=8772 	id=-1  	Main	duty_cycle_joined_average=3.4338333333333337 
asn=8772 	id=-1  	User	begin to collect stats, current time = 50.03548800000829s
asn=8772 	id=-1  	User	pdr=0,current_level=1
asn=8772 	id=-1  	User	app-packet-received in this period = 0

asn=8772 	id=-1  	User	state.timeline.seconds= 50.03548800000829,last_change_time = 0

asn=8772 	id=-1  	User	app-packet-received per sec = 0

asn=8772 	id=-1  	User	latency in this period = 0

asn=17544	id=-1  	energy_model	this.TSCH_SLOT_RX_WAIT_USEC, 2240 
asn=17544	id=-1  	Main	charge_joined_uc=16733.466 radio_duty_cycle_joined=1.717 
asn=17544	id=-1  	energy_model	this.TSCH_SLOT_RX_WAIT_USEC, 2240 
asn=17544	id=-1  	Main	charge_joined_uc=17235.252 radio_duty_cycle_joined=1.768 
asn=17544	id=-1  	energy_model	this.TSCH_SLOT_RX_WAIT_USEC, 2240 
asn=17544	id=-1  	Main	charge_joined_uc=17147.985 radio_duty_cycle_joined=1.759 
asn=17544	id=-1  	energy_model	this.TSCH_SLOT_RX_WAIT_USEC, 2240 
asn=17544	id=-1  	Main	charge_joined_uc=17213.435 radio_duty_cycle_joined=1.766 
asn=17544	id=-1  	energy_model	this.TSCH_SLOT_RX_WAIT_USEC, 2240 
asn=17544	id=-1  	Main	charge_joined_uc=17213.435 radio_duty_cycle_joined=1.766 
asn=17544	id=-1  	energy_model	this.TSCH_SLOT_RX_WAIT_USEC, 2240 
asn=17544	id=-1  	Main	charge_joined_uc=17257.069 radio_duty_cycle_joined=1.771 
asn=17544	id=-1  	Main	packet stats: PDR=0.000% generated=0 received=0 lost=0 (tx_limit/queue/routing/scheduling/other=0/0/0/0/0)
asn=17544	id=-1  	Main	link stats: PAR=19.444% tx=36 acked=7
