asn=0    	id=-1  	Main	copying configuration file /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/config.json to output directory /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/results/1100s-156900-12/config.json
asn=0    	id=-1  	Main	initializing 3600 seconds long simulation...
asn=0    	id=-1  	network	network stats has been reset
asn=0    	id=-1  	Main	creating 8 "node" nodes...
asn=0    	id=-1  	Main	generating a mesh network with 8 nodes and 5 degrees
asn=0    	id=1   	Main	Set position x=-2.64 y=4.31
asn=0    	id=2   	Main	Set position x=54.43 y=-20.11
asn=0    	id=3   	Main	Set position x=12.76 y=-15.97
asn=0    	id=4   	Main	Set position x=-16.65 y=19.84
asn=0    	id=5   	Main	Set position x=42.11 y=43.16
asn=0    	id=6   	Main	Set position x=-77.97 y=-90.20
asn=0    	id=7   	Main	Set position x=67.78 y=31.91
asn=0    	id=8   	Main	Set position x=-82.33 y=33.83
asn=0    	id=-1  	Main	starting simulation main loop...
asn=0    	id=-1  	Main	add network to timeslot switcher
asn=0    	id=-1  	Main	network = [object Object]
asn=383  	id=-1  	Main	60 seconds, progress 1.67%
asn=383  	id=-1  	Main	periodic route processing for all nodes
asn=765  	id=-1  	Main	120 seconds, progress 3.33%
asn=765  	id=-1  	Main	periodic route processing for all nodes
asn=1148 	id=-1  	Main	180 seconds, progress 5.00%
asn=1148 	id=-1  	Main	periodic route processing for all nodes
asn=1530 	id=-1  	Main	240 seconds, progress 6.67%
asn=1530 	id=-1  	Main	periodic route processing for all nodes
asn=1913 	id=-1  	Main	300 seconds, progress 8.34%
asn=1913 	id=-1  	Main	periodic route processing for all nodes
asn=2295 	id=-1  	Main	360 seconds, progress 10.00%
asn=2295 	id=-1  	Main	periodic route processing for all nodes
asn=2677 	id=-1  	Main	420 seconds, progress 11.67%
asn=2677 	id=-1  	Main	periodic route processing for all nodes
asn=3060 	id=-1  	Main	480 seconds, progress 13.34%
asn=3060 	id=-1  	Main	periodic route processing for all nodes
asn=3442 	id=-1  	Main	540 seconds, progress 15.00%
asn=3442 	id=-1  	Main	periodic route processing for all nodes
asn=3825 	id=-1  	Main	600 seconds, progress 16.67%
asn=3825 	id=-1  	Main	periodic route processing for all nodes
asn=4207 	id=-1  	Main	660 seconds, progress 18.34%
asn=4207 	id=-1  	Main	periodic route processing for all nodes
asn=4589 	id=-1  	Main	720 seconds, progress 20.00%
asn=4589 	id=-1  	Main	periodic route processing for all nodes
asn=4972 	id=-1  	Main	780 seconds, progress 21.67%
asn=4972 	id=-1  	Main	periodic route processing for all nodes
asn=5354 	id=-1  	Main	840 seconds, progress 23.33%
asn=5354 	id=-1  	Main	periodic route processing for all nodes
asn=5737 	id=-1  	Main	900 seconds, progress 25.00%
asn=5737 	id=-1  	Main	periodic route processing for all nodes
asn=5737 	id=-1  	Main	periodic neighbor processing for all nodes
asn=6119 	id=-1  	Main	960 seconds, progress 26.67%
asn=6119 	id=-1  	Main	periodic route processing for all nodes
asn=6501 	id=-1  	Main	1020 seconds, progress 28.33%
asn=6501 	id=-1  	Main	periodic route processing for all nodes
asn=6884 	id=-1  	Main	1080 seconds, progress 30.00%
asn=6884 	id=-1  	Main	periodic route processing for all nodes
asn=7266 	id=-1  	Main	1140 seconds, progress 31.67%
asn=7266 	id=-1  	Main	periodic route processing for all nodes
asn=7649 	id=-1  	Main	1200 seconds, progress 33.34%
asn=7649 	id=-1  	Main	periodic route processing for all nodes
asn=8031 	id=-1  	Main	1260 seconds, progress 35.00%
asn=8031 	id=-1  	Main	periodic route processing for all nodes
asn=8414 	id=-1  	Main	1320 seconds, progress 36.67%
asn=8414 	id=-1  	Main	periodic route processing for all nodes
asn=8796 	id=-1  	Main	1380 seconds, progress 38.34%
asn=8796 	id=-1  	Main	periodic route processing for all nodes
asn=9178 	id=-1  	Main	1440 seconds, progress 40.00%
asn=9178 	id=-1  	Main	periodic route processing for all nodes
asn=9561 	id=-1  	Main	1500 seconds, progress 41.67%
asn=9561 	id=-1  	Main	periodic route processing for all nodes
asn=9943 	id=-1  	Main	1560 seconds, progress 43.33%
asn=9943 	id=-1  	Main	periodic route processing for all nodes
asn=10326	id=-1  	Main	1620 seconds, progress 45.00%
asn=10326	id=-1  	Main	periodic route processing for all nodes
asn=10708	id=-1  	Main	1680 seconds, progress 46.67%
asn=10708	id=-1  	Main	periodic route processing for all nodes
asn=11090	id=-1  	Main	1740 seconds, progress 48.33%
asn=11090	id=-1  	Main	periodic route processing for all nodes
asn=11473	id=-1  	Main	1800 seconds, progress 50.00%
asn=11473	id=-1  	Main	periodic route processing for all nodes
asn=11473	id=-1  	Main	periodic neighbor processing for all nodes
asn=11855	id=-1  	Main	1860 seconds, progress 51.67%
asn=11855	id=-1  	Main	periodic route processing for all nodes
asn=12238	id=-1  	Main	1920 seconds, progress 53.34%
asn=12238	id=-1  	Main	periodic route processing for all nodes
asn=12620	id=-1  	Main	1980 seconds, progress 55.00%
asn=12620	id=-1  	Main	periodic route processing for all nodes
asn=13002	id=-1  	Main	2040 seconds, progress 56.67%
asn=13002	id=-1  	Main	periodic route processing for all nodes
asn=13385	id=-1  	Main	2100 seconds, progress 58.34%
asn=13385	id=-1  	Main	periodic route processing for all nodes
