asn=0    	id=-1  	Main	copying configuration file /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/config.json to output directory /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/results/single_model_peak_traffic_raw_stats/7200s-29380-9/config.json
asn=0    	id=-1  	Main	initializing 7200 seconds long simulation...
asn=0    	id=-1  	network	network stats has been reset
asn=0    	id=-1  	Main	time.timeline.slot_timings 0.02938,0.02938,0.02938,0.02938,0.02938,0.02938,0.02938,0.02938,0.02938,0.02938,0.02938,0.02938,0.02938,0.02938,0.02938,0.02938,0.02938
asn=0    	id=-1  	Main	creating 8 "node" nodes...
asn=0    	id=-1  	Main	generating a mesh network with 8 nodes and 5 degrees
asn=0    	id=1   	Main	Set position x=66.89 y=6.92
asn=0    	id=2   	Main	Set position x=-1.43 y=10.00
asn=0    	id=3   	Main	Set position x=-69.32 y=15.52
asn=0    	id=4   	Main	Set position x=6.23 y=20.36
asn=0    	id=5   	Main	Set position x=51.07 y=-108.72
asn=0    	id=6   	Main	Set position x=5.44 y=1.61
asn=0    	id=7   	Main	Set position x=-87.84 y=-36.05
asn=0    	id=8   	Main	Set position x=-76.24 y=21.57
asn=0    	id=-1  	Main	starting simulation main loop...
asn=0    	id=-1  	Main	add network to timeslot switcher
asn=0    	id=-1  	Main	network = [object Object]
asn=2043 	id=-1  	Main	60 seconds, progress 0.83%
asn=2043 	id=-1  	Main	periodic route processing for all nodes
asn=4085 	id=-1  	Main	120 seconds, progress 1.67%
asn=4085 	id=-1  	Main	periodic route processing for all nodes
asn=6127 	id=-1  	Main	180 seconds, progress 2.50%
asn=6127 	id=-1  	Main	periodic route processing for all nodes
asn=8169 	id=-1  	Main	240 seconds, progress 3.33%
asn=8169 	id=-1  	Main	periodic route processing for all nodes
asn=10212	id=-1  	Main	300 seconds, progress 4.17%
asn=10212	id=-1  	Main	periodic route processing for all nodes
asn=12254	id=-1  	Main	360 seconds, progress 5.00%
asn=12254	id=-1  	Main	periodic route processing for all nodes
asn=14296	id=-1  	Main	420 seconds, progress 5.83%
asn=14296	id=-1  	Main	periodic route processing for all nodes
asn=16338	id=-1  	Main	480 seconds, progress 6.67%
asn=16338	id=-1  	Main	periodic route processing for all nodes
asn=18380	id=-1  	Main	540 seconds, progress 7.50%
asn=18380	id=-1  	Main	periodic route processing for all nodes
asn=20423	id=-1  	Main	600 seconds, progress 8.33%
asn=20423	id=-1  	Main	periodic route processing for all nodes
asn=22465	id=-1  	Main	660 seconds, progress 9.17%
asn=22465	id=-1  	Main	periodic route processing for all nodes
asn=24507	id=-1  	Main	720 seconds, progress 10.00%
asn=24507	id=-1  	Main	periodic route processing for all nodes
asn=26549	id=-1  	Main	780 seconds, progress 10.83%
asn=26549	id=-1  	Main	periodic route processing for all nodes
asn=28591	id=-1  	Main	840 seconds, progress 11.67%
asn=28591	id=-1  	Main	periodic route processing for all nodes
asn=30634	id=-1  	Main	900 seconds, progress 12.50%
asn=30634	id=-1  	Main	periodic route processing for all nodes
asn=30634	id=-1  	Main	periodic neighbor processing for all nodes
asn=32676	id=-1  	Main	960 seconds, progress 13.33%
asn=32676	id=-1  	Main	periodic route processing for all nodes
asn=34718	id=-1  	Main	1020 seconds, progress 14.17%
asn=34718	id=-1  	Main	periodic route processing for all nodes
asn=36760	id=-1  	Main	1080 seconds, progress 15.00%
asn=36760	id=-1  	Main	periodic route processing for all nodes
asn=38802	id=-1  	Main	1140 seconds, progress 15.83%
asn=38802	id=-1  	Main	periodic route processing for all nodes
asn=40845	id=-1  	Main	1200 seconds, progress 16.67%
asn=40845	id=-1  	Main	periodic route processing for all nodes
asn=42887	id=-1  	Main	1260 seconds, progress 17.50%
asn=42887	id=-1  	Main	periodic route processing for all nodes
asn=44929	id=-1  	Main	1320 seconds, progress 18.33%
asn=44929	id=-1  	Main	periodic route processing for all nodes
asn=46971	id=-1  	Main	1380 seconds, progress 19.17%
asn=46971	id=-1  	Main	periodic route processing for all nodes
asn=49013	id=-1  	Main	1440 seconds, progress 20.00%
asn=49013	id=-1  	Main	periodic route processing for all nodes
asn=51056	id=-1  	Main	1500 seconds, progress 20.83%
asn=51056	id=-1  	Main	periodic route processing for all nodes
